time	V(ph1)	I(L)
Step Information: Freq=60K  (Run: 1/3)
1.916793952769919e-005	1.000000e+000	-1.138464e+001
1.933460619436486e-005	1.000000e+000	-1.064302e+001
1.950127286103054e-005	1.000000e+000	-9.766480e+000
1.966793952769622e-005	1.000000e+000	-8.775158e+000
1.983460619436189e-005	1.000000e+000	-7.690180e+000
2.000127286102757e-005	1.000000e+000	-6.533266e+000
2.016793952769325e-005	1.000000e+000	-5.326350e+000
2.050127286102460e-005	1.000000e+000	-2.849158e+000
2.066793952769028e-005	1.000000e+000	-1.620635e+000
2.083460619435595e-005	1.000000e+000	-4.250010e-001
2.100127286102163e-005	1.000000e+000	7.197772e-001
2.116793952768731e-005	1.000000e+000	1.797345e+000
2.133460619435298e-005	1.000000e+000	2.793157e+000
2.150127286101866e-005	1.000000e+000	3.694630e+000
2.166793952768434e-005	1.000000e+000	4.491268e+000
2.183460619435002e-005	1.000000e+000	5.174733e+000
2.200127286101569e-005	1.000000e+000	5.738893e+000
2.216793952768137e-005	1.000000e+000	6.179820e+000
2.233460619434705e-005	1.000000e+000	6.495759e+000
2.250127286101272e-005	1.000000e+000	6.687060e+000
2.266793952767840e-005	1.000000e+000	6.756083e+000
2.283460619434408e-005	1.000000e+000	6.707070e+000
2.300127286100975e-005	1.000000e+000	6.545990e+000
2.316793952767543e-005	1.000000e+000	6.280371e+000
2.333460619434111e-005	1.000000e+000	5.919111e+000
2.350127286100678e-005	1.000000e+000	5.472266e+000
2.366793952767246e-005	1.000000e+000	4.950843e+000
2.383460619433814e-005	1.000000e+000	4.366577e+000
2.400127286100381e-005	1.000000e+000	3.731708e+000
2.416793952766949e-005	1.000000e+000	3.058761e+000
2.433460619433517e-005	1.000000e+000	2.360331e+000
2.466793952766652e-005	1.000000e+000	9.365107e-001
2.483974186103660e-005	1.000000e+000	2.079507e-001
2.487685119464261e-005	1.000000e+000	5.388268e-002
2.492969886169760e-005	1.000000e+000	-1.638537e-001
2.499983433332936e-005	1.000000e+000	-4.482027e-001
2.499983443332923e-005	1.000000e+000	-4.482031e-001
2.499983463332897e-005	1.000000e+000	-4.481018e-001
2.499983503332845e-005	1.000000e+000	-4.476807e-001
2.499983533333153e-005	1.000000e+000	-4.474414e-001
2.499999999999725e-005	1.000000e+000	-3.640907e-001
2.500000009999712e-005	1.000000e+000	-3.640401e-001
2.500000029999686e-005	1.000000e+000	-3.639857e-001
2.500000069999633e-005	1.000000e+000	-3.639773e-001
2.500000099999941e-005	1.000000e+000	-3.639358e-001
2.500000107999792e-005	1.000000e+000	-3.639141e-001
2.500000123999840e-005	8.333333e-001	-3.639203e-001
2.500000155999937e-005	2.894730e-001	-3.640196e-001
2.500000199999811e-005	0.000000e+000	-3.640759e-001
2.500016666666383e-005	0.000000e+000	-3.617014e-001
2.500016676666370e-005	0.000000e+000	-3.616999e-001
2.500016696666343e-005	0.000000e+000	-3.616974e-001
2.500016736666291e-005	0.000000e+000	-3.616933e-001
2.500016766666599e-005	0.000000e+000	-3.616899e-001
2.502113915205800e-005	0.000000e+000	-1.013691e-001
2.504211071744852e-005	0.000000e+000	1.572097e-001
2.508405384822957e-005	0.000000e+000	6.686643e-001
2.516794010979165e-005	0.000000e+000	1.665729e+000
2.533460677645733e-005	0.000000e+000	3.561824e+000
2.550127344312300e-005	0.000000e+000	5.334609e+000
2.566794010978868e-005	0.000000e+000	6.948412e+000
2.583460677645436e-005	0.000000e+000	8.384007e+000
2.600127344312003e-005	0.000000e+000	9.625899e+000
2.616794010978571e-005	0.000000e+000	1.066242e+001
2.633460677645139e-005	0.000000e+000	1.148575e+001
