time	V(nc1t,nc1b)	V(n001)
Step Information: Iload=0  (Run: 1/6)
1.345055345718799e-005	1.761386e+001	5.000694e+001
1.358388679052053e-005	1.761369e+001	5.000694e+001
1.365055345718680e-005	1.761340e+001	5.000700e+001
1.371722012385307e-005	1.761297e+001	5.000709e+001
1.378388679051934e-005	1.761242e+001	5.000721e+001
1.385055345718561e-005	1.761172e+001	5.000737e+001
1.391722012385188e-005	1.761090e+001	5.000756e+001
1.398388679051815e-005	1.760995e+001	5.000779e+001
1.405055345718442e-005	1.760886e+001	5.000805e+001
1.411722012385069e-005	1.760763e+001	5.000835e+001
1.418388679051696e-005	1.760627e+001	5.000868e+001
1.431722012384951e-005	1.760315e+001	5.000945e+001
1.445055345718205e-005	1.759951e+001	5.001035e+001
1.458333423333402e-005	1.759537e+001	5.001137e+001
1.458333433333736e-005	1.759537e+001	5.001137e+001
1.458333453333710e-005	1.759558e+001	5.001137e+001
1.458333493333658e-005	1.759639e+001	5.001137e+001
1.458333523333272e-005	1.759666e+001	5.001137e+001
1.462333323333509e-005	1.759666e+001	5.001168e+001
1.462333333333843e-005	1.759666e+001	5.001168e+001
1.462333353333817e-005	1.759666e+001	5.001168e+001
1.462333393333765e-005	1.759666e+001	5.001168e+001
1.462333423333379e-005	1.759666e+001	5.001168e+001
1.477388679052560e-005	1.759666e+001	5.001251e+001
1.497388679052442e-005	1.759666e+001	5.001287e+001
1.524055345718950e-005	1.759666e+001	5.001201e+001
1.544055345718831e-005	1.759666e+001	5.001034e+001
1.557388679052085e-005	1.759666e+001	5.000875e+001
1.570722012385339e-005	1.759666e+001	5.000677e+001
1.584055345718594e-005	1.759666e+001	5.000442e+001
1.597388679051848e-005	1.759666e+001	5.000168e+001
1.610722012385102e-005	1.759666e+001	4.999857e+001
1.617388679051729e-005	1.759666e+001	4.999686e+001
1.624055345718356e-005	1.759666e+001	4.999507e+001
1.630722012384983e-005	1.759666e+001	4.999318e+001
1.637388679051610e-005	1.759667e+001	4.999120e+001
1.644055345718237e-005	1.759667e+001	4.998913e+001
1.650722012384864e-005	1.759666e+001	4.998697e+001
1.658666856666630e-005	1.759666e+001	4.998428e+001
1.662666756666736e-005	1.759667e+001	4.998288e+001
1.662666766666376e-005	1.759667e+001	4.998288e+001
1.662666786666350e-005	1.759579e+001	4.998288e+001
1.662666826666298e-005	1.759254e+001	4.998288e+001
1.662666856666606e-005	1.759142e+001	4.998288e+001
1.664763997929336e-005	1.758881e+001	4.998287e+001
1.666666656666843e-005	1.758649e+001	4.998286e+001
Step Information: Iload=1  (Run: 2/6)
0.000000000000000e+000	2.314047e+001	4.996715e+001
1.999997389923180e-013	2.314047e+001	4.996715e+001
5.999992169769541e-013	2.314047e+001	4.996715e+001
9.000022949123832e-013	2.314047e+001	4.996715e+001
9.800008027305296e-013	2.314047e+001	4.996715e+001
7.505534571905503e-007	2.300560e+001	4.998628e+001
1.017220123855633e-006	2.296951e+001	4.999316e+001
1.750553457184612e-006	2.290249e+001	5.001209e+001
2.083334233335399e-006	2.288758e+001	5.002063e+001
2.083334333338738e-006	2.288758e+001	5.002063e+001
2.083334533338477e-006	2.288757e+001	5.002063e+001
2.083334933337955e-006	2.288758e+001	5.002063e+001
2.083335233334094e-006	2.288758e+001	5.002063e+001
2.123333233336466e-006	2.288648e+001	5.002164e+001
2.123333333339805e-006	2.288648e+001	5.002164e+001
2.123333533339544e-006	2.288668e+001	5.002164e+001
2.123333933339022e-006	2.288740e+001	5.002164e+001
2.123334233335161e-006	2.288766e+001	5.002164e+001
2.807220123857146e-006	2.288766e+001	5.002840e+001
3.273886790521041e-006	2.288766e+001	5.002692e+001
3.940553457183749e-006	2.288766e+001	5.001621e+001
4.126667566668740e-006	2.288766e+001	5.001147e+001
4.126667666672079e-006	2.288766e+001	5.001147e+001
4.126667866671818e-006	2.288894e+001	5.001147e+001
4.126668266671296e-006	2.289373e+001	5.001147e+001
4.126668566674374e-006	2.289539e+001	5.001147e+001
4.166666566669808e-006	2.290294e+001	5.001038e+001
4.166666666666208e-006	2.290294e+001	5.001038e+001
4.166666866665947e-006	2.290294e+001	5.001038e+001
4.166667266665425e-006	2.290294e+001	5.001038e+001
4.166667566668503e-006	2.290294e+001	5.001038e+001
4.783886790524217e-006	2.300699e+001	4.999690e+001
5.183886790521841e-006	2.306176e+001	4.999154e+001
5.517220123853195e-006	2.309973e+001	4.998915e+001
5.783886790518278e-006	2.312506e+001	4.998861e+001
6.250000900001607e-006	2.315863e+001	4.999058e+001
6.250001000004946e-006	2.315863e+001	4.999058e+001
6.250001200004685e-006	2.315863e+001	4.999058e+001
6.250001600004163e-006	2.315862e+001	4.999058e+001
6.250001900000302e-006	2.315862e+001	4.999058e+001
6.289999900002674e-006	2.316083e+001	4.999093e+001
6.290000000006013e-006	2.316083e+001	4.999093e+001
6.290000200005752e-006	2.316045e+001	4.999093e+001
6.290000600005230e-006	2.315905e+001	4.999093e+001
